name,rating,hours,categories,address
GoPixelYourself,4 star rating,Closed;Closed;1:00 PM - 7:00 PM;1:00 PM - 7:00 PM;1:00 PM - 8:30 PM;11:00 AM - 8:30 PM;11:00 AM - 8:30 PM,Pop-up Shops;Museums,"100 CambridgeSide Pl, Cambridge, MA 02141"
Four-Handed Illusions: An Intimate Evening of Laughs and Wonder,5 star rating,Closed;Closed;Closed;Closed;8:00 PM - 10:00 PM;3:00 PM - 10:00 PM;3:00 PM - 10:00 PM,Performing Arts;Comedy Clubs;Magicians,"84 Beacon St, Library Room - The Hampshire House"
Sowa Open Market,4.5 star rating,Closed;Closed;Closed;Closed;Closed;Closed;11:00 AM - 4:00 PM,Festivals;Farmers Market;Beer Gardens,"460 Harrison Ave, Boston, MA 02118"
Boston Night Market,4 star rating,,Festivals,"1 City Hall Square, Boston, MA 02108"
Improv Asylum,4 star rating,Closed;Closed;Closed;5:00 PM - 10:00 PM;5:00 PM - 11:00 PM;3:00 PM - 11:00 PM;Closed,Performing Arts;Comedy Clubs,"216 Hanover St, Boston, MA 02113"
Museum Of Fine Arts,4.5 star rating,10:00 AM - 5:00 PM;Closed;Closed;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Art Museums,"465 Huntington Ave, Boston, MA 02115"
Isabella Stewart Gardner Museum,4.5 star rating,11:00 AM - 5:00 PM;Closed;11:00 AM - 5:00 PM;11:00 AM - 9:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM,Art Museums,"25 Evans Way, Boston, MA 02115"
Feet of Clay Pottery,4.5 star rating,,Art Galleries;Art Classes,"21 Station St, Brookline, MA 02445"
Museum of Bad Art,4 star rating,,Art Museums,N/A
Boston Tea Party Ships & Museum,4.5 star rating,10:00 AM - 4:00 PM;Closed;Closed;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM,Museums;Tours;Venues & Event Spaces,"306 Congress St, Boston, MA 02210"
Museum of Science,4 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 9:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM,Museums,"1 Science Park, Boston, MA 02114"
MIT Museum,4 star rating,10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Art Museums,"265 Massachusetts Ave, Cambridge, MA 02139"
MIT Museum,4 star rating,10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Art Museums,"265 Massachusetts Ave, Cambridge, MA 02139"
Cirque du Soleil,5 star rating,,Performing Arts,"525 William F McClellan Hwy, Boston, MA 02128"
Game Underground,4 star rating,11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 7:00 PM,Videos & Video Game Rental;Arcades;Video Game Stores,"349 Moody St, Waltham, MA 02453"
A4cade by Area Four,3.5 star rating,Closed;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 12:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);Closed,Arcades;Cocktail Bars,"292 Massachusetts Ave, Cambridge, MA 02139"
The Comedy Studio,4.5 star rating,5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 1:00 AM (Next day);2:00 PM - 1:00 AM (Next day);2:00 PM - 12:00 AM (Next day),Performing Arts;Comedy Clubs,"1 Bow Market Way, Ste 23"
The Paint Bar,5 star rating,Closed;6:00 PM - 9:00 PM;6:00 PM - 9:00 PM;6:00 PM - 9:00 PM;6:00 PM - 9:00 PM;1:00 PM - 9:00 PM;1:00 PM - 9:00 PM,Paint & Sip,"823 Washington St, Newtonville, MA 02460"
SoWa Art + Design District,4 star rating,Closed;Closed;Closed;Closed;Closed;Closed;11:00 AM - 4:00 PM,Art Galleries;Shopping Centers;Flea Markets,"450 Harrison Ave, Boston, MA 02118"
Hot Mess! Sundays,5 star rating,,Arts & Entertainment,"279 Tremont St, Royale"
Outside The Box Festival,5 star rating,,Festivals,"Boston Common, Boston, MA 02111"
The Slutcracker: A Burlesque,3.5 star rating,,Performing Arts,"55 Davis Sq, Somerville, MA 02144"
Harvard Square Chocolate Festival,4.5 star rating,,Festivals,"18 Brattle St, Ste 352"
Institute of Contemporary Art / Boston,3.5 star rating,Closed;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Art Museums;Children's Museums,"25 Harbor Shore Dr, Boston, MA 02210"
Hot Mess! Sundays,5 star rating,,Arts & Entertainment,"279 Tremont St, Royale"
Harvard Museum of Natural History,4.5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM,Museums,"26 Oxford St, Cambridge, MA 02138"
VERSUS,3.5 star rating,5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 11:00 PM,Arcades;Bars;American (Traditional),"42 Province St, Boston, MA 02108"
21st Annual Sheep Shearing Festival,5 star rating,,Festivals,"52 Gore Pl, 52 Gore St"
Harvard Art Museums,4 star rating,Closed;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Art Museums,"32 Quincy St, Cambridge, MA 02138"
The Donna Summer Disco Party,5 star rating,,Festivals,"560 Boylston St, Boston, MA 02116"
The Distillery,5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;Closed,Art Galleries,"516 E 2nd St, South Boston, MA 02127"
Jacques Cabaret,4 star rating,11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day),Performing Arts;Cabaret,"79 Broadway, Boston, MA 02116"
Emerson Paramount Center,5 star rating,Closed;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;12:00 PM - 6:00 PM;Closed,Performing Arts,"559 Washington St, Boston, MA 02111"
Boston Seaport,5 star rating,10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM,Shopping Centers;Men's Clothing;Art Museums,"101 Seaport Blvd, Boston, MA 02210"
21st Annual Sheep Shearing Festival,5 star rating,,Festivals,"52 Gore Pl, 52 Gore St"
Le Laboratoire Cambridge,4 star rating,Closed;Closed;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;Closed,Art Galleries,"650 E Kendall St, Cambridge, MA 02142"
Core Social Justice Cannabis Museum,3 star rating,11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM,Art Museums,"401A Centre St, Ste B"
Boston Wine Tours,4.5 star rating,Closed;Closed;Closed;Closed;Closed;3:00 PM - 5:00 PM;Closed,Wine Tasting Room;Wine Tours,"30 Rowes Wharf, Boston, MA 02110"
