name,rating,hours,categories,address
Back Bay Skincare & Spa,5 star rating,Closed;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;Closed,Day Spas;Skin Care;Waxing,"509 Columbus Ave, Boston, MA 02118"
Trinity's Touch,4 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;9:30 AM - 6:00 PM;Closed,Threading Services;Skin Care;Waxing,"1768 Massachusetts Ave, Cambridge, MA 02140"
The Spa at Mandarin Oriental,4.5 star rating,11:00 AM - 7:00 PM;Closed;Closed;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM,Day Spas,"776 Boylston St, Boston, MA 02199"
Beauty Nails & Spa Cambridge,4.5 star rating,10:30 AM - 7:00 PM;10:30 AM - 7:00 PM;10:30 AM - 7:00 PM;9:30 AM - 7:30 PM;9:30 AM - 7:30 PM;9:30 AM - 7:30 PM;Closed,Nail Salons,"1766 Mass Ave, Cambridge, MA 02140"
Sway Spa,4.5 star rating,Closed;11:00 AM - 6:30 PM;11:00 AM - 6:30 PM;11:00 AM - 6:30 PM;11:00 AM - 6:30 PM;10:00 AM - 5:30 PM;Closed,Skin Care;Day Spas;Waxing,"485 Commonwealth Ave, Boston, MA 02215"
Encore Boston Harbor Spa,4 star rating,Closed;Closed;Closed;Closed;2:00 PM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM,Day Spas;Massage,"One Broadway, Everett, MA 02142"
Skin Spa New York - Back Bay,4.5 star rating,11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM,Laser Hair Removal;Skin Care;Medical Spas,"284 Newbury St, Fl 3"
Le Visage Spa,5 star rating,Closed;9:30 AM - 6:00 PM;9:00 AM - 6:00 PM;9:30 AM - 7:00 PM;7:45 AM - 7:00 PM;9:00 AM - 5:00 PM;Closed,Day Spas;Massage;Skin Care,"125 Broad St, Boston, MA 02110"
C Spa,5 star rating,Closed;12:00 PM - 5:00 PM;Closed;12:00 PM - 5:00 PM;11:00 AM - 3:00 PM;11:00 AM - 3:00 PM;Closed,Skin Care;Massage;Hair Removal,"715 Boylston St, Fl 5"
Bella Santé Day Spa Med Spa,4 star rating,Closed;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Day Spas;Massage;Medical Spas,"38 Newbury St, Boston, MA 02116"
Bliss Spa at W Boston,4 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Day Spas,"100 Stuart St, W Hotel"
Boston Massage Studio,5 star rating,8:00 AM - 9:00 PM;8:00 AM - 9:00 PM;8:00 AM - 9:00 PM;8:00 AM - 9:00 PM;8:00 AM - 9:00 PM;7:00 AM - 10:00 PM;7:00 AM - 10:00 PM,Massage;Massage Therapy,"651 Boylston St, Ste 2"
Viyada Thai Spa - Boylston,4.5 star rating,11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM,Day Spas;Massage,"437 Boylston St, Fl 2"
G2O Spa & Salon,4 star rating,8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 9:00 PM;8:00 AM - 9:00 PM;8:00 AM - 9:00 PM;8:00 AM - 6:00 PM;10:00 AM - 6:00 PM,Day Spas;Nail Salons;Hair Salons,"33 Exeter St, Boston, MA 02116"
Holistic Spa Therapy Center,4.5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Massage;Day Spas,"195 Squire Rd, Fl 2"
VEGA Vitality,5 star rating,Closed;11:00 AM - 7:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;Closed;Closed,Medical Spas;Skin Care;Dermatologists,"551 Boylston St 4th, Fl 4"
Balans Organic Spa,4.5 star rating,11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 8:00 PM;11:00 AM - 7:30 PM;9:00 AM - 6:00 PM;11:00 AM - 5:00 PM,Day Spas;Skin Care;Massage,"216 Newbury St, Fl 1"
Total Skin Care,5 star rating,Closed;8:00 AM - 8:00 PM;8:00 AM - 6:00 PM;8:00 AM - 8:00 PM;8:00 AM - 6:00 PM;8:00 AM - 6:00 PM;Closed,Skin Care;Waxing,"623 Commonwealth Ave, Fl-3"
SOWA Medspa,5 star rating,Closed;11:00 AM - 6:00 PM;10:00 AM - 6:00 PM;11:00 AM - 8:00 PM;10:00 AM - 6:00 PM;10:00 AM - 4:00 PM;Closed,Medical Spas;IV Hydration;Hair Removal,"55 Dartmouth St, Boston, MA 02116"
Restorative Massages & Wellness,5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Massage Therapy;Massage;Day Spas,"681 Washington St, Ste 17"
Shallow Goodale,5 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Hair Salons,"3 Ames St, Cambridge, MA 02142"
Reiwatakiya - Boston,4.5 star rating,11:30 AM - 8:00 PM;11:30 AM - 8:00 PM;11:30 AM - 8:00 PM;11:30 AM - 8:00 PM;11:00 AM - 8:30 PM;11:00 AM - 8:30 PM;11:00 AM - 8:30 PM,Cosmetics & Beauty Supply,"330 Newbury St, Boston, MA 02115"
Skin & Body Works,4.5 star rating,Closed;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 7:00 PM;10:00 AM - 4:00 PM;Closed,Skin Care;Waxing;Massage Therapy,"77 Holland St, Somerville, MA 02144"
exhale® Battery Wharf,4 star rating,9:00 AM - 7:30 PM;9:00 AM - 7:30 PM;9:00 AM - 7:30 PM;9:00 AM - 7:00 PM;9:00 AM - 7:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Day Spas;Barre Classes;Yoga,"2 Battery Wharf, Boston, MA 02109"
Rhyme of Korea,4.5 star rating,10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM;10:00 AM - 6:30 PM,Cosmetics & Beauty Supply,"72 Kneeland St, Boston, MA 02111"
Sasa Adventures Beauty & Spa,4 star rating,10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM,Day Spas,"42 Essex St, Boston, MA 02111"
Bluemercury,4.5 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;11:00 AM - 6:00 PM,Cosmetics & Beauty Supply;Day Spas,"160 Newbury St, Boston, MA 02116"
Kelly's Beauty,5 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;9:30 AM - 5:30 PM;9:30 AM - 5:30 PM,Skin Care;Waxing,"101 Arch St, Ste 874"
