name,rating,hours,categories,address
Howl at the Moon Boston,3 star rating,Closed;Closed;Closed;6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);Closed,Bars;Music Venues;Venues & Event Spaces,"184 High St, Boston, MA 02110"
City Works,4 star rating,11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 12:00 AM (Next day);11:00 AM - 1:00 AM (Next day);10:00 AM - 1:00 AM (Next day);10:00 AM - 11:00 PM,Sports Bars;Venues & Event Spaces;American (Traditional),"91 Arsenal Yards Blvd, Watertown, MA 02472"
Tunnel,3 star rating,Closed;11:00 PM - 2:00 AM (Next day);Closed;11:00 PM - 2:00 AM (Next day);11:00 PM - 2:00 AM (Next day);10:00 PM - 2:00 AM (Next day);Closed,Dance Clubs;Champagne Bars;Music Venues,"100 Stuart St, Boston, MA 02116"
The Sky Lounge & Rooftop Terrace,3 star rating,4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 11:00 PM,Bars,"65 Seaport Blvd, Boston, MA 02210"
Havana Club,4 star rating,8:00 PM - 12:00 AM (Next day);8:00 PM - 12:00 AM (Next day);Closed;8:15 PM - 1:00 AM (Next day);9:00 PM - 2:00 AM (Next day);9:00 PM - 2:00 AM (Next day);Closed,Dance Clubs,"288 Green St, Cambridge, MA 02139"
Royale Boston,3 star rating,Closed;Closed;Closed;Closed;10:00 PM - 2:00 AM (Next day);10:00 PM - 2:00 AM (Next day);Closed,Dance Clubs;Music Venues,"279 Tremont St, Boston, MA 02116"
Colette Lounge,5 star rating,Closed;Closed;Closed;6:00 PM - 10:00 PM;6:00 PM - 1:00 AM (Next day);6:00 PM - 1:00 AM (Next day);6:00 PM - 10:00 PM,Lounges;Cocktail Bars,"140 Boylston, St 1F"
Garage Boston,2.5 star rating,Closed;Closed;Closed;Closed;10:30 PM - 2:00 AM (Next day);10:30 PM - 2:00 AM (Next day);5:00 PM - 11:00 PM,Dance Clubs;Venues & Event Spaces;Pubs,"20 Linden St, Boston, MA 02134"
Lolita Cocina & Tequila Bar Back Bay,4 star rating,4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day),Mexican;Lounges;Cocktail Bars,"271 Dartmouth St, Boston, MA 02116"
Rooftop at Revere,3 star rating,Closed;Closed;11:00 AM - 10:00 PM;11:00 AM - 10:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 10:00 PM,Lounges;Cocktail Bars,"200 Stuart St, Revere Hotel"
