name,rating,hours,categories,address
Trapology Boston,5 star rating,Closed;5:30 PM - 10:00 PM;2:30 PM - 10:00 PM;2:30 PM - 10:00 PM;2:30 PM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM,Escape Games;Venues & Event Spaces;Team Building Activities,"177 Tremont St, Fl 2"
The Lawn On D,4 star rating,7:00 AM - 11:00 PM;7:00 AM - 11:00 PM;7:00 AM - 11:00 PM;7:00 AM - 11:00 PM;7:00 AM - 11:00 PM;7:00 AM - 11:00 PM;7:00 AM - 11:00 PM,Venues & Event Spaces;Parks,"420 D St, Boston, MA 02210"
World's End,4.5 star rating,,Parks,"250 Martins Ln, Hingham, MA 02018"
Urban Axes - Somerville,4.5 star rating,Closed;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;12:00 PM - 11:00 PM,Axe Throwing,"2 Union Square, Somerville, MA 02143"
Revolution Axe Throwing,4.5 star rating,Closed;Closed;Closed;4:30 PM - 10:30 PM;1:00 PM - 10:30 PM;1:00 PM - 10:30 PM;1:30 PM - 8:00 PM,Axe Throwing;Beer Bar;Recreation Centers,"73 Norman St, Everett, MA 02149"
Escape The Room Boston,4 star rating,12:00 PM - 11:00 PM;12:00 PM - 11:00 PM;12:00 PM - 11:00 PM;12:00 PM - 11:00 PM;12:00 PM - 11:00 PM;11:00 AM - 12:00 AM (Next day);11:00 AM - 12:00 AM (Next day),Escape Games,"33 West St, Fl 3"
Quincy Quarries Reservation,4.5 star rating,,Parks,"77 Ricciuti Dr, Quincy, MA 02269"
Charles River Canoe & Kayak,4.5 star rating,Closed;Closed;Closed;Closed;Closed;Closed;8:00 AM - 8:00 PM,Rafting/Kayaking;Boating;Paddleboarding,"15 Broad Canal Way, Cambridge, MA 02142"
Boda Borg,4.5 star rating,5:00 PM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day);10:00 AM - 10:00 PM,Escape Games;Challenge Courses,"90 Pleasant St, Malden, MA 02148"
Bumpkin Island,5 star rating,,Parks,"15 State Street, Ste 1100"
Archery Games Boston,5 star rating,Closed;Closed;Closed;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM,Archery;Team Building Activities,"121 Webster Ave, Ste 3"
Fly Together Fitness,4.5 star rating,7:00 AM - 9:45 PM;7:00 AM - 9:45 PM;7:00 AM - 9:45 PM;7:00 AM - 9:45 PM;7:00 AM - 9:45 PM;8:00 AM - 6:30 PM;8:00 AM - 6:30 PM,Pole Dancing Classes;Aerial Fitness;Dance Studios,"31 Woodbine St, Somerville, MA 02143"
Rock Spot Climbing,4 star rating,10:00 AM - 12:00 AM (Next day);6:30 AM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day);6:30 AM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day),Rock Climbing;Climbing,"30 Old Colony Ave, Boston, MA 02127"
Mystic Valley Gun Club,4.5 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Gun/Rifle Ranges,"146 Canal St, Malden, MA 02148"
The Esplanade,4.5 star rating,,Parks,"Storrow Dr, Boston, MA 02116"
Christopher Columbus Waterfront Park,4.5 star rating,6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM;6:00 AM - 11:30 PM,Parks;Playgrounds,"Atlantic Ave & Richmond St, Boston, MA 02109"
Major League Bocce Boston,5 star rating,,Bocce Ball,N/A
Arnold Arboretum,5 star rating,10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;Closed;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Parks,"125 Arborway, Boston, MA 02130"
Red Fox Escapes,5 star rating,11:30 AM - 11:00 PM;11:30 AM - 11:00 PM;11:30 AM - 11:00 PM;11:30 AM - 11:00 PM;11:30 AM - 11:00 PM;10:00 AM - 11:00 PM;10:00 AM - 11:00 PM,Escape Games,"614 Massachusetts Ave, Cambridge, MA 02139"
Sky Zone Trampoline Park,3.5 star rating,3:00 PM - 8:00 PM;3:00 PM - 8:00 PM;3:00 PM - 8:00 PM;3:00 PM - 8:00 PM;3:00 PM - 11:00 PM;10:00 AM - 10:00 PM;10:00 AM - 8:00 PM,Trampoline Parks;Venues & Event Spaces,"69 Norman St, Everett, MA 02149"
Watson Adventures Scavenger Hunts,5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;Closed;Closed,Tours;Scavenger Hunts;Team Building Activities,N/A
New England Aquarium,3.5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Aquariums,"1 Central Wharf, Boston, MA 02110"
J.E.T. Boston,5 star rating,5:30 AM - 8:30 PM;5:30 AM - 8:30 PM;5:30 AM - 8:30 PM;5:30 AM - 8:30 PM;5:30 AM - 8:00 PM;8:00 AM - 2:00 PM;8:00 AM - 2:00 PM,Trainers;Gyms,"437 Columbus Ave, Ground Floor"
Brooklyn Boulders Somerville,3.5 star rating,6:30 AM - 10:00 PM;6:30 AM - 10:00 PM;6:30 AM - 10:00 PM;6:30 AM - 10:00 PM;6:30 AM - 10:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Rock Climbing;Climbing,"12A Tyler St, Somerville, MA 02143"
By Land and Sea Stand Up Paddle,5 star rating,8:00 AM - 7:00 PM;8:00 AM - 7:00 PM;8:00 AM - 7:00 PM;8:00 AM - 7:00 PM;8:00 AM - 7:00 PM;8:00 AM - 7:00 PM;8:00 AM - 7:00 PM,Paddleboarding,N/A
Cambridge Center Roof Garden,4.5 star rating,6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM,Parks,"4 Cambridge Ctr, Cambridge, MA 02142"
Better Off Bowling,4.5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Bowling;Social Clubs,"50 Dalton St, Boston, MA 02115"
Community Ice Skating at Kendall Square,4.5 star rating,12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 6:00 PM,Skating Rinks,"300 Athenaeum St, Cambridge, MA 02142"
Breakheart Reservation,4.5 star rating,,Parks,"177 Forest St, Saugus, MA 01906"
Seaport Common,4 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Parks,"85 Northern Ave, Boston, MA 02210"
Solidcore South End,5 star rating,5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM;5:00 AM - 9:00 PM,Pilates,"345 Harrison Ave, Boston, MA 02118"
Back Bay Boxing,5 star rating,5:30 PM - 6:15 PM;Closed;6:30 PM - 7:15 PM;Closed;Closed;9:00 AM - 9:45 AM;Closed,Trainers;Boxing,N/A
Cashunt Boston,5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;10:00 AM - 5:00 PM;Closed,Party & Event Planning;Scavenger Hunts;Team Building Activities,"22 Clinton St, Boston, MA 02109"
Gilded Studio,5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;7:30 AM - 8:00 PM;10:00 AM - 5:00 PM;10:30 AM - 5:00 PM,Pilates;Pole Dancing Classes;Trainers,"540 Tremont St, Ste 6"
Boston Pole Fitness,4.5 star rating,9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM;9:00 AM - 10:00 PM,Pole Dancing Classes;Dance Studios;Yoga,"414 Cambridge St, Brighton , MA 02134"
Boston Harbor Walk,4.5 star rating,,Parks,"88 Black Falcon Ave, Boston, MA 02210"
Prospect Hill Park,4 star rating,,Parks,"322 Totten Pond Rd, Waltham, MA 02451"
Niav Connor,Rating,,Life Coach;Sex Therapists,N/A
Better Off Bowling,4.5 star rating,9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM,Bowling;Social Clubs,"50 Dalton St, Boston, MA 02115"
Martin’s Park,5 star rating,,Parks,"64 Sleeper St, Boston, MA 02210"
Watson Park I,3 star rating,,Parks,"7 Milford St, Boston, MA 02118"
PanIQ Escape Room - Boston,N/A,,,"130 Water St, Boston, MA 02109"
